Device Name,Hostname,SysName,Reset Reason,Config Register,Type,Image Name,IP Address,Software Type,Software Version,Product ID,CBP Alerts,FN Vulnerable Alerts,Hardware EoX Alerts,PSIRT Vulnerable Alerts,Software Alerts
SITE19-1ST-94SW-01,SITE19-1ST-94SW-01,SITE19-1ST-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.11,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-2ND-94SW-01,SITE19-2ND-94SW-01,SITE19-2ND-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.12,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-3RD-93SW-02,SITE19-3RD-93SW-02,SITE19-3RD-93SW-02.net.com,Reload Command,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.17,IOS-XE,17.9.5,C9300-48UXM,18,3,0,5,1
SITE19-3RD-94SW-01,SITE19-3RD-94SW-01,SITE19-3RD-94SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.94.13,IOS-XE,17.9.5,C9410R,21,2,2,5,1
SITE19-5TH-94SW-01,SITE19-5TH-94SW-01,SITE19-5TH-94SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.15,IOS-XE,17.9.5,C9410R,19,2,2,4,1
SITE19-CORE-SW-01,SITE19-CORE-SW-01,SITE19-CORE-SW-01.net.com,ISSU,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.94.10,IOS-XE,17.9.5,C9500-40X,20,3,4,5,1
SITE19-MGMT-SW-01,SITE19-MGMT-SW-01,SITE19-MGMT-SW-01.net.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.94.8,IOS-XE,17.9.5,C9300-48UXM,20,3,0,6,1
SITE19-MGMT-SW-02,SITE19-MGMT-SW-02,SITE19-MGMT-SW-02.net.com,"Critical process fman_fp_image fault on fp_0_0 (rc=134), system report at /crashinfo/DOC-MGMT-SW-02_1_RP_0-system-report_1_20250607-164139-UTC.tar.gz",null,Managed Chassis,CAT9K_IOSXE,192.168.94.9,IOS-XE,17.9.5,C9300-48UXM,20,3,0,6,1
SITE20-1E-SW-01,SITE20-1E-SW-01,SITE20-1E-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.121,IOS-XE,17.9.4a,C9410R,24,2,2,6,1
SITE20-1W-SW-01,SITE20-1W-SW-01,SITE20-1W-SW-01.net.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.122,IOS-XE,17.9.4a,C9410R,28,2,2,6,1
